date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-08-18 00:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,21,21,21,17,14,93,0.0,1012,20,10,6,8,charlotte
2012-08-18 01:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,17,17,94,0.0,1012,20,7,6,8,charlotte
2012-08-18 02:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,17,20,95,0.0,1011,20,5,6,8,charlotte
2012-08-18 03:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,17,23,96,0.0,1011,19,2,6,8,charlotte
2012-08-18 04:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,16,19,95,0.0,1012,19,2,7,8,charlotte
2012-08-18 05:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,14,16,95,0.0,1012,20,2,7,9,charlotte
2012-08-18 06:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,20,20,20,13,12,95,0.0,1013,20,2,7,9,charlotte
2012-08-18 07:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,22,23,22,11,19,86,0.0,1013,22,5,11,8,charlotte
2012-08-18 08:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,25,25,24,10,26,77,0.0,1013,24,7,16,8,charlotte
2012-08-18 09:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,28,28,26,9,33,68,0.0,1012,26,10,20,8,charlotte
2012-08-18 10:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,29,29,27,7,30,65,0.0,1012,27,10,23,6,charlotte
2012-08-18 11:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,31,31,28,5,28,61,0.0,1012,28,10,25,5,charlotte
2012-08-18 12:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,32,32,30,4,26,57,0.0,1012,29,10,28,3,charlotte
2012-08-18 13:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,32,32,30,4,38,55,0.0,1012,29,10,95,3,charlotte
2012-08-18 14:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,32,32,30,4,50,53,0.0,1011,29,10,163,3,charlotte
2012-08-18 15:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,31,31,30,4,63,51,0.0,1010,30,10,230,3,charlotte
2012-08-18 16:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,29,29,27,5,54,63,0.0,1010,27,10,260,3,charlotte
2012-08-18 17:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,27,27,25,6,45,75,0.0,1011,25,10,289,3,charlotte
2012-08-18 18:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,25,25,23,7,36,87,0.0,1011,22,10,319,3,charlotte
2012-08-18 19:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,20,22,23,22,6,30,88,0.0,1012,21,10,237,3,charlotte
2012-08-18 20:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,21,22,21,4,24,90,0.6,1012,20,9,155,2,charlotte
2012-08-18 21:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,3,18,92,0.8,1012,20,9,73,1,charlotte
2012-08-18 22:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,6,17,93,0.4,1012,20,7,75,3,charlotte
2012-08-18 23:00:00,30,19,0.0,13.3,7,2,06:47 AM,07:29 PM,05:46 AM,07:08 PM,19,20,20,20,9,16,94,0.0,1012,20,4,78,4,charlotte
